"","participant","lang_1","lang_2","region","age","l2_rating","native","l2","item_num","item_text","item_response","e.c_1.0","m_f","condition","repeated_pro","canada_specific_pro","exp_con"
"1348",44,"French","","Canada",28,NA,1,0,15,"Quelques amis sont venus",5,0,"m",1,NA,0,1
"1350",44,"French","","Canada",28,NA,1,0,17,"Aucun enfant a le droit de faire ca",5,0,NA,1,NA,0,1
"1351",44,"French","","Canada",28,NA,1,0,18,"Aucune enfante, elle a le droit de faire ca",1,1,"f",1,NA,0,1
"1354",44,"French","","Canada",28,NA,1,0,21,"Beaucoup d'americains ont achete du papier toilette",4,0,NA,1,NA,0,1
"1356",44,"French","","Canada",28,NA,1,0,23,"Peu de gens ont accord une assurance sante",5,0,NA,1,NA,0,1
"1357",44,"French","","Canada",28,NA,1,0,24,"Jean, il boit et mange toute la journee",5,NA,"m",2,0,0,1
"1366",45,"French","","Canada",25,NA,1,0,2,"Chacun veut avoir raison",2,0,NA,1,NA,0,1
"1368",45,"French","","Canada",25,NA,1,0,4,"Tous sont d'accord",3,0,NA,1,NA,0,1
"1371",45,"French","","Canada",25,NA,1,0,7,"Quelqu'un a telephone",5,0,"m",1,NA,0,1
"1377",45,"French","","Canada",25,NA,1,0,13,"Tous mes amis, sont partis en vacances",4,0,"f",1,NA,0,1
"1379",45,"French","","Canada",25,NA,1,0,15,"Quelques amis sont venus",4,0,"m",1,NA,0,1
"1381",45,"French","","Canada",25,NA,1,0,17,"Aucun enfant a le droit de faire ca",5,0,NA,1,NA,0,1
"1382",45,"French","","Canada",25,NA,1,0,18,"Aucune enfante, elle a le droit de faire ca",1,1,"f",1,NA,0,1
"1385",45,"French","","Canada",25,NA,1,0,21,"Beaucoup d'americains ont achete du papier toilette",5,0,NA,1,NA,0,1
"1387",45,"French","","Canada",25,NA,1,0,23,"Peu de gens ont accord une assurance sante",5,0,NA,1,NA,0,1
"1388",45,"French","","Canada",25,NA,1,0,24,"Jean, il boit et mange toute la journee",5,NA,"m",2,0,0,1
"1428",47,"French","","Canada",34,NA,1,0,2,"Chacun veut avoir raison",5,0,NA,1,NA,0,1
"1430",47,"French","","Canada",34,NA,1,0,4,"Tous sont d'accord",5,0,NA,1,NA,0,1
"1433",47,"French","","Canada",34,NA,1,0,7,"Quelqu'un a telephone",5,0,"m",1,NA,0,1
"1439",47,"French","","Canada",34,NA,1,0,13,"Tous mes amis, sont partis en vacances",2,0,"f",1,NA,0,1
"1441",47,"French","","Canada",34,NA,1,0,15,"Quelques amis sont venus",5,0,"m",1,NA,0,1
"1443",47,"French","","Canada",34,NA,1,0,17,"Aucun enfant a le droit de faire ca",4,0,NA,1,NA,0,1
"1444",47,"French","","Canada",34,NA,1,0,18,"Aucune enfante, elle a le droit de faire ca",1,1,"f",1,NA,0,1
"1447",47,"French","","Canada",34,NA,1,0,21,"Beaucoup d'americains ont achete du papier toilette",5,0,NA,1,NA,0,1
"1449",47,"French","","Canada",34,NA,1,0,23,"Peu de gens ont accord une assurance sante",5,0,NA,1,NA,0,1
"1450",47,"French","","Canada",34,NA,1,0,24,"Jean, il boit et mange toute la journee",5,NA,"m",2,0,0,1
